province,period,avgTemperature,avgRainfall,avgHumidity,weatherScore,year,month
"chiang-rai","2020-11",23.65,0.57,78.10,97,2020,11
"chiang-rai","2020-12",20.52,0.14,81.62,92,2020,12
"chiang-rai","2021-01",20.22,0.41,82.21,90,2021,01
"chiang-rai","2021-02",21.85,1.55,79.84,95,2021,02
"chiang-rai","2021-03",25.87,0.25,73.91,99,2021,03
"chiang-rai","2021-04",25.97,4.48,79.65,89,2021,04
"chiang-rai","2021-05",27.68,3.90,77.86,90,2021,05
"chiang-rai","2021-06",27.10,9.90,80.85,85,2021,06
"chiang-rai","2021-07",26.42,11.46,84.51,82,2021,07
"chiang-rai","2021-08",26.28,8.73,83.41,83,2021,08
"chiang-rai","2021-09",25.94,11.39,84.06,82,2021,09
"chiang-rai","2021-10",25.07,7.81,82.13,86,2021,10
"chiang-rai","2021-11",23.42,4.42,82.74,89,2021,11
"chiang-rai","2021-12",20.21,0.31,82.50,89,2021,12
"chiang-rai","2022-01",20.64,2.47,82.53,88,2022,01
"chiang-rai","2022-02",21.34,3.41,82.55,89,2022,02
"chiang-rai","2022-03",26.04,2.46,77.14,94,2022,03
"chiang-rai","2022-04",25.66,3.62,77.69,91,2022,04
"chiang-rai","2022-05",25.80,10.09,83.40,83,2022,05
"chiang-rai","2022-06",26.95,6.04,81.22,87,2022,06
"chiang-rai","2022-07",26.46,9.00,81.90,84,2022,07
"chiang-rai","2022-08",25.90,12.17,82.88,82,2022,08
"chiang-rai","2022-09",25.52,12.23,85.68,81,2022,09
"chiang-rai","2022-10",24.73,5.54,79.61,91,2022,10
"chiang-rai","2022-11",23.44,1.57,80.33,94,2022,11
"chiang-rai","2022-12",21.57,2.11,82.39,90,2022,12
"chiang-rai","2023-01",20.70,0.01,80.98,94,2023,01
"chiang-rai","2023-02",22.85,1.20,79.03,96,2023,02
"chiang-rai","2023-03",25.65,0.69,74.26,98,2023,03
"chiang-rai","2023-04",29.15,0.59,69.32,98,2023,04
"chiang-rai","2023-05",28.67,5.59,74.02,89,2023,05
"chiang-rai","2023-06",27.42,9.92,83.36,81,2023,06
"chiang-rai","2023-07",27.54,7.64,80.88,85,2023,07
"chiang-rai","2023-08",26.20,10.87,84.42,82,2023,08
"chiang-rai","2023-09",26.07,14.48,84.61,80,2023,09
"chiang-rai","2023-10",25.01,8.89,84.86,82,2023,10
"chiang-rai","2023-11",22.94,1.49,80.04,93,2023,11
"chiang-rai","2023-12",21.74,1.30,82.00,91,2023,12
"chiang-rai","2024-01",21.35,1.54,81.67,92,2024,01
"chiang-rai","2024-02",22.94,0.16,78.07,99,2024,02
"chiang-rai","2024-03",25.82,0.27,73.83,99,2024,03
"chiang-rai","2024-04",28.58,0.84,70.93,98,2024,04
"chiang-rai","2024-05",27.83,9.52,80.38,85,2024,05
"chiang-rai","2024-06",26.86,9.06,82.65,83,2024,06
"chiang-rai","2024-07",26.66,10.29,85.27,81,2024,07
"chiang-rai","2024-08",25.87,15.61,86.12,78,2024,08
"chiang-rai","2024-09",26.27,11.93,81.51,84,2024,09
"chiang-rai","2024-10",25.13,8.17,80.13,89,2024,10
"chiang-rai","2024-11",23.22,3.51,80.82,92,2024,11
"chiang-rai","2024-12",21.82,0.55,80.44,93,2024,12
"chiang-rai","2025-01",19.62,0.14,82.82,88,2025,01
"chiang-rai","2025-02",22.61,0.61,79.49,97,2025,02
"chiang-rai","2025-03",24.90,0.24,75.38,98,2025,03
"chiang-rai","2025-04",27.08,2.29,73.47,96,2025,04
"chiang-rai","2025-05",26.84,8.05,80.45,86,2025,05
